waktu,iterasi_ke,bus,i_before,i_after,v_field,v_dt_mitm,v_dt_baseline,drift_mitm,drift_baseline,breaker_mitm,breaker_baseline,i_path
1,1,1,319.620690,319.620690,0.971000,1.049345,1.049345,0.078345,0.078345,1,1,normal
1,1,2,184.344828,184.344828,0.952000,1.049200,1.049200,0.097200,0.097200,1,1,normal
1,1,3,323.206897,323.206897,1.014000,1.040575,1.040575,0.026575,0.026575,1,1,normal
1,1,4,357.551724,357.551724,0.972000,1.039020,1.039020,0.067020,0.067020,1,1,normal
1,1,5,88.206897,88.206897,1.030000,1.040787,1.040787,0.010787,0.010787,1,1,normal
2,1,1,383.793103,1545.310345,1.030000,1.047385,1.047385,0.017385,0.017385,1,1,injected
2,1,2,159.068966,1554.068966,0.984000,1.048768,1.048768,0.064768,0.064768,1,1,injected
2,1,3,225.965517,1671.379310,1.045000,1.040825,1.040825,0.004175,-0.004175,1,1,injected
2,1,4,136.172414,136.172414,0.959000,1.039282,1.039282,0.080282,0.080282,1,1,normal
2,1,5,342.034483,342.034483,1.034000,1.041204,1.041204,0.007204,0.007204,1,1,normal
3,1,1,383.793103,1545.310345,1.030000,1.036017,1.045479,0.006017,0.015479,1,1,injected
3,1,2,159.068966,1554.068966,0.984000,1.040092,1.048675,0.056092,0.064675,1,1,injected
3,1,3,225.965517,1671.379310,1.045000,1.037519,1.041288,0.007481,-0.003712,1,1,injected
3,1,4,136.172414,136.172414,0.959000,1.043484,1.039787,0.084484,0.080787,1,1,normal
3,1,5,342.034483,342.034483,1.034000,1.044591,1.041377,0.010591,0.007377,1,1,normal
4,1,1,397.241379,1569.448276,1.030000,1.027578,1.044214,0.002422,0.014214,1,1,injected
4,1,2,514.724138,1590.724138,1.002000,1.031195,1.048568,0.029195,0.046568,1,1,injected
4,1,3,335.241379,1645.448276,0.987000,1.029616,1.041506,0.042616,0.054506,1,1,injected
