scenario (-),iteration (-),cycle_id (-),bus (-),v_field (pu),v_dt (pu),drift_signed (pu),drift_abs (pu),drift (%)
baseline,iteration_1,72,2,1.011175,1.011173,-0.000002,0.000002,0.000198
baseline,iteration_1,72,3,1.009483,1.009484,0.000001,0.000001,0.000099
baseline,iteration_1,72,4,1.010000,1.010000,0.000000,0.000000,0.000000
baseline,iteration_1,72,5,1.006837,1.006828,-0.000009,0.000009,0.000894
baseline,iteration_1,73,1,1.020000,1.020000,0.000000,0.000000,0.000000
baseline,iteration_1,73,2,1.010007,1.010026,0.000019,0.000019,0.001881
baseline,iteration_1,73,3,1.008517,1.008530,0.000013,0.000013,0.001289
baseline,iteration_1,73,4,1.010000,1.010000,0.000000,0.000000,0.000000
baseline,iteration_1,73,5,1.007106,1.007104,-0.000002,0.000002,0.000199
baseline,iteration_1,74,1,1.020000,1.020000,0.000000,0.000000,0.000000
baseline,iteration_1,74,2,1.011116,1.011133,0.000017,0.000017,0.001681
baseline,iteration_1,74,3,1.008945,1.008963,0.000018,0.000018,0.001784
baseline,iteration_1,74,4,1.010000,1.010000,0.000000,0.000000,0.000000
baseline,iteration_1,74,5,1.007435,1.007432,-0.000003,0.000003,0.000298
baseline,iteration_1,75,1,1.020000,1.020000,0.000000,0.000000,0.000000
baseline,iteration_1,75,2,1.011179,1.011155,-0.000024,0.000024,0.002373
baseline,iteration_1,75,3,1.009415,1.009394,-0.000021,0.000021,0.002080
baseline,iteration_1,75,4,1.010000,1.010000,0.000000,0.000000,0.000000
baseline,iteration_1,75,5,1.007453,1.007446,-0.000007,0.000007,0.000695
baseline,iteration_1,76,1,1.020000,1.020000,0.000000,0.000000,0.000000
baseline,iteration_1,76,2,1.010079,1.010047,-0.000032,0.000032,0.003168
baseline,iteration_1,76,3,1.008419,1.008385,-0.000034,0.000034,0.003372
baseline,iteration_1,76,4,1.010000,1.010000,0.000000,0.000000,0.000000
baseline,iteration_1,76,5,1.006966,1.006956,-0.000010,0.000010,0.000993
baseline,iteration_1,77,1,1.020000,1.020000,0.000000,0.000000,0.000000
baseline,iteration_1,77,2,1.010281,1.010320,0.000039,0.000039,0.003860
baseline,iteration_1,77,3,1.008569,1.008590,0.000021,0.000021,0.002082
baseline,iteration_1,77,4,1.010000,1.010000,0.000000,0.000000,0.000000
baseline,iteration_1,77,5,1.007233,1.007239,0.000006,0.000006,0.000596
baseline,iteration_1,78,1,1.020000,1.020000,0.000000,0.000000,0.000000
baseline,iteration_1,78,2,1.010075,1.010075,0.000000,0.000000,0.000000
baseline,iteration_1,78,3,1.008354,1.008354,0.000000,0.000000,0.000000
baseline,iteration_1,78,4,1.010000,1.010000,0.000000,0.000000,0.000000
baseline,iteration_1,78,5,1.007014,1.007012,-0.000002,0.000002,0.000199
baseline,iteration_1,79,1,1.020000,1.020000,0.000000,0.000000,0.000000
baseline,iteration_1,79,2,1.010502,1.010499,-0.000003,0.000003,0.000297
baseline,iteration_1,79,3,1.008602,1.008603,0.000001,0.000001,0.000099
baseline,iteration_1,79,4,1.010000,1.010000,0.000000,0.000000,0.000000
baseline,iteration_1,79,5,1.007288,1.007290,0.000002,0.000002,0.000199
