Memulai Server OPC UA
Endpoints other than open requested but private key and certificate are not set.
Listening on 10.0.2.2:4840


Memulai Modbus Gateway di 0.0.0.0:5020[2026-05-19 14:30:54] [iter 1] [Bus 1] P/Q/CMD -> V_in=0.0000 pu, I_in=0.0000 A, PF=0.0000, V_out=0.0000 pu, I_out=0.0000 A, V_DT=1.0000 pu, P=0.0000 MW, Q=0.0000 MVar
[2026-05-19 14:31:51] [iter 15] [Bus 2] P/Q/CMD -> V_in=1.0130 pu, I_in=411.2333 A, PF=0.9495, V_out=1.0130 pu, I_out=411.2333 A, V_DT=1.0097 pu, P=75.3609 MW, Q=24.9034 MVar
[2026-05-19 14:31:51] [iter 15] [Bus 3] P/Q/CMD -> V_in=1.0080 pu, I_in=480.5000 A, PF=0.9320, V_out=1.0080 pu, I_out=480.5000 A, V_DT=1.0067 pu, P=86.0049 MW, Q=33.4476 MVar
[2026-05-19 14:31:51] [iter 15] [Bus 4] P/Q/CMD -> V_in=1.0100 pu, I_in=768.4000 A, PF=0.8129, V_out=1.0100 pu, I_out=768.4000 A, V_DT=1.0100 pu, P=120.1985 MW, Q=86.1164 MVar
[2026-05-19 14:31:51] [iter 15] [Bus 5] P/Q/CMD -> V_in=1.0070 pu, I_in=756.0000 A, PF=0.9518, V_out=1.0070 pu, I_out=756.0000 A, V_DT=1.0079 pu, P=138.0544 MW, Q=44.4883 MVar


[2026-05-19 14:31:55] [iter 16] [Bus 1] P/Q/CMD -> V_in=1.0210 pu, I_in=1023.7333 A, PF=0.9514, V_out=1.0210 pu, I_out=1023.7333 A, V_DT=1.0200 pu, P=189.4650 MW, Q=61.3278 MVar
[2026-05-19 14:31:55] [iter 16] [Bus 2] P/Q/CMD -> V_in=1.0130 pu, I_in=320.4667 A, PF=0.9232, V_out=1.0130 pu, I_out=320.4667 A, V_DT=1.0095 pu, P=57.1007 MW, Q=23.7705 MVar
[2026-05-19 14:31:55] [iter 16] [Bus 3] P/Q/CMD -> V_in=1.0140 pu, I_in=541.5000 A, PF=0.9010, V_out=1.0140 pu, I_out=541.5000 A, V_DT=1.0065 pu, P=94.2572 MW, Q=45.3835 MVar
[2026-05-19 14:31:55] [iter 16] [Bus 4] P/Q/CMD -> V_in=1.0080 pu, I_in=695.8333 A, PF=0.8950, V_out=1.0080 pu, I_out=695.8333 A, V_DT=1.0100 pu, P=119.6030 MW, Q=59.6099 MVar
[2026-05-19 14:31:55] [iter 16] [Bus 5] P/Q/CMD -> V_in=1.0070 pu, I_in=700.9000 A, PF=0.9611, V_out=1.0070 pu, I_out=700.9000 A, V_DT=1.0068 pu, P=129.2431 MW, Q=37.1418 MVar


[2026-05-19 14:31:59] [iter 17] [Bus 1] P/Q/CMD -> V_in=1.0180 pu, I_in=1024.6000 A, PF=0.9514, V_out=1.0180 pu, I_out=1024.6000 A, V_DT=1.0200 pu, P=189.0682 MW, Q=61.1993 MVar
[2026-05-19 14:31:59] [iter 17] [Bus 2] P/Q/CMD -> V_in=1.0160 pu, I_in=315.7667 A, PF=0.9232, V_out=1.0160 pu, I_out=315.7667 A, V_DT=1.0094 pu, P=56.4299 MW, Q=23.4913 MVar
