comparison (-),iteration (-),origin_cycle (-),bus (-),baseline_cmd_id (-),mitm_cmd_id (-),baseline_breaker_DT (-),mitm_breaker_DT (-),false_control_action (-),control_error_type (-)
mitm_vs_baseline,iteration_1,81,5,78,77,1,1,0,correct
mitm_vs_baseline,iteration_1,82,1,79,78,1,1,0,correct
mitm_vs_baseline,iteration_1,82,2,79,78,1,0,1,false_open
mitm_vs_baseline,iteration_1,82,3,79,78,1,0,1,false_open
mitm_vs_baseline,iteration_1,82,4,79,78,1,1,0,correct
mitm_vs_baseline,iteration_1,82,5,79,78,1,1,0,correct
mitm_vs_baseline,iteration_1,83,1,80,79,1,1,0,correct
mitm_vs_baseline,iteration_1,83,2,80,79,1,0,1,false_open
mitm_vs_baseline,iteration_1,83,3,80,79,1,0,1,false_open
mitm_vs_baseline,iteration_1,83,4,80,79,1,1,0,correct
mitm_vs_baseline,iteration_1,83,5,80,79,1,1,0,correct
mitm_vs_baseline,iteration_1,84,1,81,80,1,1,0,correct
mitm_vs_baseline,iteration_1,84,2,81,80,1,0,1,false_open
mitm_vs_baseline,iteration_1,84,3,81,80,1,1,0,correct
mitm_vs_baseline,iteration_1,84,4,81,80,1,1,0,correct
mitm_vs_baseline,iteration_1,84,5,81,80,1,1,0,correct
mitm_vs_baseline,iteration_1,85,1,82,81,1,1,0,correct
mitm_vs_baseline,iteration_1,85,2,82,81,1,1,0,correct
mitm_vs_baseline,iteration_1,85,3,82,81,1,0,1,false_open
mitm_vs_baseline,iteration_1,85,4,82,81,1,1,0,correct
mitm_vs_baseline,iteration_1,85,5,82,81,1,1,0,correct
mitm_vs_baseline,iteration_1,86,1,83,82,1,1,0,correct
mitm_vs_baseline,iteration_1,86,2,83,82,1,1,0,correct
mitm_vs_baseline,iteration_1,86,3,83,82,1,1,0,correct
mitm_vs_baseline,iteration_1,86,4,83,82,1,1,0,correct
mitm_vs_baseline,iteration_1,86,5,83,82,1,1,0,correct
mitm_vs_baseline,iteration_1,88,1,85,83,1,1,0,correct
mitm_vs_baseline,iteration_1,88,2,85,83,1,1,0,correct
mitm_vs_baseline,iteration_1,88,3,85,83,1,1,0,correct
mitm_vs_baseline,iteration_1,88,4,85,83,1,1,0,correct
mitm_vs_baseline,iteration_1,88,5,85,83,1,1,0,correct
mitm_vs_baseline,iteration_1,89,1,86,84,1,0,1,false_open
mitm_vs_baseline,iteration_1,89,2,86,84,1,0,1,false_open
mitm_vs_baseline,iteration_1,89,3,86,84,1,0,1,false_open
mitm_vs_baseline,iteration_1,89,4,86,84,1,1,0,correct
mitm_vs_baseline,iteration_1,89,5,86,84,1,1,0,correct
mitm_vs_baseline,iteration_1,90,1,87,85,1,0,1,false_open
