cmd_id,origin_cycle,ts_sent,bus,breaker_DT
74,79,1780254815.268311,3,0
74,79,1780254815.268311,4,1
74,79,1780254815.268311,5,1
75,80,1780254815.347911,1,1
75,80,1780254815.347911,2,1
75,80,1780254815.347911,3,0
75,80,1780254815.347911,4,1
75,80,1780254815.347911,5,1
76,81,1780254816.329896,1,1
76,81,1780254816.329896,2,1
76,81,1780254816.329896,3,0
76,81,1780254816.329896,4,1
76,81,1780254816.329896,5,1
77,82,1780254817.324223,1,1
77,82,1780254817.324223,2,1
77,82,1780254817.324223,3,0
77,82,1780254817.324223,4,1
77,82,1780254817.324223,5,1
78,83,1780254818.947187,1,1
78,83,1780254818.947187,2,1
78,83,1780254818.947187,3,1
78,83,1780254818.947187,4,1
78,83,1780254818.947187,5,1
79,83,1780254819.959429,1,1
79,83,1780254819.959429,2,1
79,83,1780254819.959429,3,1
79,83,1780254819.959429,4,1
79,83,1780254819.959429,5,1
80,85,1780254820.958300,1,0
80,85,1780254820.958300,2,0
80,85,1780254820.958300,3,0
80,85,1780254820.958300,4,0
80,85,1780254820.958300,5,1
81,86,1780254821.986995,1,0
81,86,1780254821.986995,2,0
81,86,1780254821.986995,3,0
81,86,1780254821.986995,4,1
81,86,1780254821.986995,5,1
82,87,1780254822.679405,1,1
82,87,1780254822.679405,2,0
82,87,1780254822.679405,3,0
82,87,1780254822.679405,4,0
82,87,1780254822.679405,5,1
83,88,1780254823.336360,1,1
83,88,1780254823.336360,2,0
83,88,1780254823.336360,3,0
83,88,1780254823.336360,4,0
83,88,1780254823.336360,5,1
