timestamp_b,waktu,bus,v_berfore_b,v_after_b,i_before_b,i_after_b,v_dt_b,timestamp_m,v_berfore_m,v_after_m,i_before_m,i_after_m,v_dt_m,delta_i_m,delta_i_b,abs_delta_i_m,abs_delta_i_b,drift_v_dt,abs_drift_v_dt,pct_i_inj_m,pct_v_dt_vs_b
2026-05-12 23:44:43,19,5,0.97,0.97,232.275862,232.275862,1.038494,2026-05-12 23:24:30,1.026,1.026,140.862069,140.862069,0.960015,0.0,0.0,0.0,0.0,-0.07847900000000008,0.07847900000000008,0.0,7.557000803512593
2026-05-12 23:44:47,20,1,0.997,0.997,331.0,331.0,1.043971,2026-05-12 23:24:34,0.997,0.997,331.0,331.0,1.025486,0.0,0.0,0.0,0.0,-0.018485000000000085,0.018485000000000085,0.0,1.7706430525650285
2026-05-12 23:44:47,20,2,0.976,0.976,483.62069,483.62069,1.044205,2026-05-12 23:24:34,0.976,0.976,483.62069,1510.310345,1.020892,1026.6896550000001,0.0,1026.6896550000001,0.0,-0.02331300000000014,0.02331300000000014,212.2923344898823,2.232607579706481
2026-05-12 23:44:47,20,3,0.992,0.992,182.724138,182.724138,1.039546,2026-05-12 23:24:34,0.992,0.992,182.724138,1537.172414,1.010601,1354.4482759999999,0.0,1354.4482759999999,0.0,-0.028945,0.028945,741.2530623553793,2.7843885669471202
2026-05-12 23:44:47,20,4,1.002,1.002,407.896552,407.896552,1.037015,2026-05-12 23:24:34,1.002,1.002,407.896552,1638.034483,0.990844,1230.137931,0.0,1230.137931,0.0,-0.04617100000000007,0.04617100000000007,301.5808596450679,4.452298178471583
2026-05-12 23:44:47,20,5,0.97,0.97,232.275862,232.275862,1.038957,2026-05-12 23:24:34,0.97,0.97,232.275862,1554.827586,0.996551,1322.5517240000001,0.0,1322.5517240000001,0.0,-0.042405999999999944,0.042405999999999944,569.3883587034612,4.081593363265661
2026-05-12 23:44:51,21,1,1.049,1.049,356.586207,356.586207,1.043567,2026-05-12 23:24:38,1.049,1.049,356.586207,1503.241379,1.029422,1146.655172,0.0,1146.655172,0.0,-0.014144999999999852,0.014144999999999852,321.56464447441556,1.355447229209565
2026-05-12 23:44:51,21,2,0.993,0.993,317.965517,317.965517,1.044006,2026-05-12 23:24:38,0.993,0.993,317.965517,1623.965517,1.014122,1306.0,0.0,1306.0,0.0,-0.02988400000000002,0.02988400000000002,410.736361670513,2.8624356537582796
2026-05-12 23:44:51,21,3,0.962,0.962,194.37931,194.37931,1.039843,2026-05-12 23:24:38,0.962,0.962,194.37931,1565.551724,1.00064,1371.172414,0.0,1371.172414,0.0,-0.0392030000000001,0.0392030000000001,705.4106771682095,3.7700883654839443
2026-05-12 23:44:51,21,4,0.983,0.983,352.862069,352.862069,1.037275,2026-05-12 23:24:38,0.983,0.983,352.862069,1587.37931,0.982643,1234.517241,0.0,1234.517241,0.0,-0.0546319999999999,0.0546319999999999,349.85830044016916,5.266877149003989
2026-05-12 23:44:51,21,5,0.973,0.973,190.172414,190.172414,1.039254,2026-05-12 23:24:38,0.973,0.973,190.172414,1568.103448,0.982738,1377.9310340000002,0.0,1377.9310340000002,0.0,-0.0565159999999999,0.0565159999999999,724.5693514487893,5.4381315776141905
2026-05-12 23:44:55,22,1,0.957,0.957,382.413793,382.413793,1.043059,2026-05-12 23:24:42,0.957,0.957,382.413793,1548.172414,1.0196,1165.758621,0.0,1165.758621,0.0,-0.023458999999999897,0.023458999999999897,304.84219954680816,2.249057817200112
2026-05-12 23:44:55,22,2,0.972,0.972,500.344828,500.344828,1.044728,2026-05-12 23:24:42,0.972,0.972,500.344828,1672.068966,0.999329,1171.724138,0.0,1171.724138,0.0,-0.04539900000000008,0.04539900000000008,234.1833211990685,4.345532995817547
2026-05-12 23:44:55,22,3,1.035,1.035,115.137931,115.137931,1.040364,2026-05-12 23:24:42,1.035,1.035,115.137931,1533.206897,0.976962,1418.068966,0.0,1418.068966,0.0,-0.06340200000000007,0.06340200000000007,1231.6262254910052,6.094213173375658
2026-05-12 23:44:55,22,4,0.973,0.973,392.965517,392.965517,1.037821,2026-05-12 23:24:42,0.973,0.973,392.965517,1634.034483,0.933731,1241.0689659999998,0.0,1241.0689659999998,0.0,-0.10409000000000013,0.10409000000000013,315.8213403344972,10.029667919583765
2026-05-12 23:44:55,22,5,0.971,0.971,150.62069,150.62069,1.039803,2026-05-12 23:24:42,0.971,0.971,150.62069,150.62069,0.944023,0.0,0.0,0.0,0.0,-0.09578000000000009,0.09578000000000009,0.0,9.211360219953825
2026-05-12 23:44:59,23,1,1.043,1.043,325.37931,325.37931,1.042732,2026-05-12 23:24:46,1.043,1.043,325.37931,325.37931,1.016513,0.0,0.0,0.0,0.0,-0.026218999999999992,0.026218999999999992,0.0,2.5144524168104043
2026-05-12 23:44:59,23,2,0.997,0.997,434.793103,434.793103,1.044434,2026-05-12 23:24:46,0.997,0.997,434.793103,434.793103,0.999503,0.0,0.0,0.0,0.0,-0.044931000000000054,0.044931000000000054,0.0,4.301947270672975
2026-05-12 23:44:59,23,3,1.03,1.03,166.793103,166.793103,1.040736,2026-05-12 23:24:46,1.03,1.03,166.793103,166.793103,0.981481,0.0,0.0,0.0,0.0,-0.05925500000000006,0.05925500000000006,0.0,5.6935668549050265
